"Dte.","Barris","Gener","Febrer","Març","Abril","Maig","Juny","Juliol","Agost","Setembre","Octubre","Novembre","Desembre"
1,"1. el Raval",4.368,4.346,4.341,4.240,4.111,3.976,3.905,3.850,3.831,3.833,3.946,3.901
1,"2. el Barri Gòtic",1.197,1.168,1.146,1.131,1.067,1.053,1.054,1.030,1.011,1.016,1.058,1.049
1,"3. la Barceloneta",1.278,1.277,1.277,1.234,1.194,1.158,1.148,1.150,1.140,1.176,1.192,1.204
1,"4. Sant Pere, Santa Caterina i la Ribera",1.773,1.771,1.773,1.711,1.655,1.605,1.591,1.595,1.580,1.629,1.649,1.667
2,"5. el Fort Pienc",1.715,1.720,1.729,1.664,1.599,1.551,1.544,1.572,1.543,1.514,1.502,1.468
2,"6. la Sagrada Família",2.805,2.793,2.780,2.674,2.589,2.511,2.534,2.596,2.552,2.533,2.484,2.467
2,"7. la Dreta de l'Eixample",1.794,1.810,1.796,1.734,1.692,1.671,1.675,1.715,1.679,1.697,1.676,1.651
2,"8. l'Antiga Esquerra de l'Eixample",2.076,2.027,1.989,1.903,1.850,1.801,1.812,1.838,1.828,1.830,1.834,1.809
2,"9. la Nova Esquerra de l'Eixample",3.026,2.994,2.956,2.864,2.763,2.675,2.696,2.716,2.674,2.704,2.726,2.668
2,"10. Sant Antoni",2.189,2.172,2.141,2.069,1.990,1.940,1.927,1.941,1.911,1.938,1.959,1.910
3,"11. el Poble Sec - AEI Parc Montjuïc",3.237,3.220,3.156,3.062,2.973,2.888,2.838,2.831,2.758,2.767,2.834,2.787
3,"12. la Marina del Prat Vermell - AEI Zona Franca",146,152,155,160,156,144,141,136,142,143,140,147
3,"13. la Marina de Port",2.362,2.338,2.350,2.280,2.262,2.142,2.130,2.133,2.073,2.116,2.094,2.072
3,"14. la Font de la Guatlla",814,809,795,771,750,727,715,713,695,698,714,701
3,"15. Hostafrancs",981,976,976,934,908,873,855,881,878,882,888,856
3,"16. la Bordeta",1.151,1.145,1.145,1.096,1.066,1.024,1.003,1.033,1.031,1.035,1.042,1.004
3,"17. Sants - Badal",1.283,1.290,1.277,1.246,1.186,1.158,1.171,1.193,1.177,1.165,1.161,1.129
3,"18. Sants",2.389,2.386,2.374,2.291,2.209,2.135,2.124,2.176,2.160,2.158,2.164,2.094
4,"19. les Corts",2.433,2.428,2.400,2.324,2.240,2.163,2.180,2.225,2.204,2.209,2.213,2.150
